"year"|"conflictid_new"|"actor"|"conflict_type"|"conflict_country"|"ai_prev"|"hrw_prev"|"state_prev"|"actor_type"|"theta_static"|"theta_sd_static"|"theta_upper_static"|"theta_low_static"|"theta_dynamic"|"theta_sd_dynamic"|"theta_upper_dynamic"|"theta_low_dynamic"|"max_prev"|"lag_ai_prev"|"lag_hrw_prev"|"lag_state_prev"|"lag_max_prev"|"lag_theta_static"|"lag_theta_sd_static"|"lag_theta_dynamic"|"lag_theta_sd_dynamic"
2001|364|"Government"|"intra"|"India"|0|0|2|1|0.689718432552004|0.537592522514582|1.61890169337104|-0.53861821638948|1.17592453026017|0.524129302542441|2.11403052833096|0.0157728335650789|2|0|0|2|2|0.692186072473535|0.571078512061212|1.19570405647139|0.53788884682096
2002|364|"Government"|"intra"|"India"|0|0|2|1|0.688218102316291|0.56327141495859|1.6505247966957|-0.535806413153348|1.13098451585101|0.551135907520357|2.09788491226833|-0.0346751294174988|2|0|0|2|2|0.689718432552004|0.537592522514582|1.17592453026017|0.524129302542441
2003|364|"Government"|"intra"|"India"|0|0|2|1|0.884722022053848|0.596978121593016|1.94000042911706|-0.378235282370965|1.32559248714096|0.575494895313438|2.37337741977154|0.122168466832788|2|0|0|2|2|0.688218102316291|0.56327141495859|1.13098451585101|0.551135907520357
2004|364|"Government"|"intra"|"India"|1|0|2|1|1.24863827718902|0.423519368405211|2.04402686116054|0.348019615132766|1.65531729208001|0.417067261075148|2.46345630535024|0.806514064144772|2|0|0|2|2|0.884722022053848|0.596978121593016|1.32559248714096|0.575494895313438
2005|364|"Government"|"intra"|"India"|1|0|2|1|1.2492536398388|0.418350930697083|2.00779445965812|0.338285655426133|1.64327433452375|0.424734992571019|2.42947276007814|0.754313225177412|2|1|0|2|2|1.24863827718902|0.423519368405211|1.65531729208001|0.417067261075148
2006|364|"Government"|"intra"|"India"|0|0|2|1|0.692111655643977|0.558228902721674|1.67339099515535|-0.517979627221441|1.08702430550925|0.554889064008294|2.06363862707543|-0.0975854345200988|2|1|0|2|2|1.2492536398388|0.418350930697083|1.64327433452375|0.424734992571019
2007|364|"Government"|"intra"|"India"|0|0|2|1|0.707007701869847|0.536271209168003|1.60779397311828|-0.491806182630654|1.11803473813303|0.547029930207422|2.08074294986293|-0.0679600679185554|2|0|0|2|2|0.692111655643977|0.558228902721674|1.08702430550925|0.554889064008294
2008|364|"Government"|"intra"|"India"|0|0|2|1|0.695357748530961|0.554612998891228|1.67368203732499|-0.493706563593067|1.14365971356596|0.536610620671923|2.08752980820188|0.0020784897162399|2|0|0|2|2|0.707007701869847|0.536271209168003|1.11803473813303|0.547029930207422
2009|364|"Government"|"intra"|"India"|1|0|1|1|1.06440240624615|0.425061667324394|1.86543319960544|0.16736466051938|1.42404707629959|0.408089086030709|2.18761949840623|0.568475098910394|1|0|0|2|2|0.695357748530961|0.554612998891228|1.14365971356596|0.536610620671923
2010|364|"Government"|"intra"|"India"|0|0|0|1|-0.423735561693805|0.786697240715503|0.907847830974535|-2.14011237243797|-0.145691011424753|0.832158819199751|1.26460165283496|-1.95841449806213|0|1|0|1|1|1.06440240624615|0.425061667324394|1.42404707629959|0.408089086030709
2011|364|"Government"|"intra"|"India"|0|0|0|1|-0.425290288393053|0.787957817073322|0.910917786430839|-2.12635218720234|0.265679239928843|0.714642202572866|1.47200940823585|-1.27161054335614|0|0|0|0|0|-0.423735561693805|0.786697240715503|-0.145691011424753|0.832158819199751
2012|364|"Government"|"intra"|"India"|0|0|0|1|-0.420446009621832|0.778911602374179|0.915910907019489|-2.10411609062662|-0.212151785362805|0.839904984809158|1.19887267483726|-2.04578218540403|0|0|0|0|0|-0.425290288393053|0.787957817073322|0.265679239928843|0.714642202572866
